gene_name	gene_biotype	gene_id
MROH7-TTC4	protein_coding	ENSG00000271723
ALG14	protein_coding	ENSG00000172339
ZZZ3	protein_coding	ENSG00000036549
YIPF1	protein_coding	ENSG00000058799
LDLRAD1	protein_coding	ENSG00000203985
GJB4	protein_coding	ENSG00000189433
TMEM125	protein_coding	ENSG00000179178
DMRTA2	protein_coding	ENSG00000142700
HIVEP3	protein_coding	ENSG00000127124
BCAR3	protein_coding	ENSG00000137936
BARHL2	protein_coding	ENSG00000143032
CNN3	protein_coding	ENSG00000117519
VAV3	protein_coding	ENSG00000134215
DPYD	protein_coding	ENSG00000188641
TLCD4	protein_coding	ENSG00000152078
LRRC8D	protein_coding	ENSG00000171492
S1PR1	protein_coding	ENSG00000170989
ELAPOR1	protein_coding	ENSG00000116299
ARHGAP29	protein_coding	ENSG00000137962
PGM1	protein_coding	ENSG00000079739
IGSF21	protein_coding	ENSG00000117154
COA7	protein_coding	ENSG00000162377
OLFML3	protein_coding	ENSG00000116774
GCLM	protein_coding	ENSG00000023909
TGFBR3	protein_coding	ENSG00000069702
SZT2	protein_coding	ENSG00000198198
PHTF1	protein_coding	ENSG00000116793
F3	protein_coding	ENSG00000117525
VCAM1	protein_coding	ENSG00000162692
GPR88	protein_coding	ENSG00000181656
RWDD3	protein_coding	ENSG00000122481
MAN1A2	protein_coding	ENSG00000198162
LPAR3	protein_coding	ENSG00000171517
CTTNBP2NL	protein_coding	ENSG00000143079
SLC25A24	protein_coding	ENSG00000085491
PIFO	protein_coding	ENSG00000173947
TSPAN2	protein_coding	ENSG00000134198
LRIG2	protein_coding	ENSG00000198799
SLC35A3	protein_coding	ENSG00000117620
AGL	protein_coding	ENSG00000162688
SLC6A17	protein_coding	ENSG00000197106
HSD3B2	protein_coding	ENSG00000203859
RNPC3	protein_coding	ENSG00000185946
SNX7	protein_coding	ENSG00000162627
SLC30A7	protein_coding	ENSG00000162695
SEC22B	protein_coding	ENSG00000265808
PTGFRN	protein_coding	ENSG00000134247
ZNF326	protein_coding	ENSG00000162664
TRIM45	protein_coding	ENSG00000134253
TENT5C	protein_coding	ENSG00000183508
SYCP1	protein_coding	ENSG00000198765
PIP5K1A	protein_coding	ENSG00000143398
GDAP2	protein_coding	ENSG00000196505
TSHB	protein_coding	ENSG00000134200
WDR3	protein_coding	ENSG00000065183
SLC22A15	protein_coding	ENSG00000163393
SCNM1	protein_coding	ENSG00000163156
FLG	protein_coding	ENSG00000143631
CDC14A	protein_coding	ENSG00000079335
CD53	protein_coding	ENSG00000143119
FLG2	protein_coding	ENSG00000143520
SRGAP2C	protein_coding	ENSG00000171943
SPAG17	protein_coding	ENSG00000155761
TTF2	protein_coding	ENSG00000116830
MAGI3	protein_coding	ENSG00000081026
GABPB2	protein_coding	ENSG00000143458
CD5L	protein_coding	ENSG00000073754
LYSMD1	protein_coding	ENSG00000163155
CD2	protein_coding	ENSG00000116824
DEPDC1	protein_coding	ENSG00000024526
GPR89A	protein_coding	ENSG00000117262
GTF2B	protein_coding	ENSG00000137947
TNFSF4	protein_coding	ENSG00000117586
KCNJ9	protein_coding	ENSG00000162728
CSF1	protein_coding	ENSG00000184371
TNFAIP8L2	protein_coding	ENSG00000163154
IGSF8	protein_coding	ENSG00000162729
MPC2	protein_coding	ENSG00000143158
TLCD4-RWDD3	protein_coding	ENSG00000271092
C1orf112	protein_coding	ENSG00000000460
LAMC1	protein_coding	ENSG00000135862
MGST3	protein_coding	ENSG00000143198
CASQ1	protein_coding	ENSG00000143318
ILF2	protein_coding	ENSG00000143621
NME7	protein_coding	ENSG00000143156
RCSD1	protein_coding	ENSG00000198771
SFT2D2	protein_coding	ENSG00000213064
UCK2	protein_coding	ENSG00000143179
PIGM	protein_coding	ENSG00000143315
XCL2	protein_coding	ENSG00000143185
POU2F1	protein_coding	ENSG00000143190
KIFAP3	protein_coding	ENSG00000075945
TBX15	protein_coding	ENSG00000092607
CD48	protein_coding	ENSG00000117091
RXRG	protein_coding	ENSG00000143171
TPR	protein_coding	ENSG00000047410
ATP1A2	protein_coding	ENSG00000018625
METTL18	protein_coding	ENSG00000171806
CHIA	protein_coding	ENSG00000134216
EXTL2	protein_coding	ENSG00000162694
DDX59	protein_coding	ENSG00000118197
NIBAN1	protein_coding	ENSG00000135842
OR10J5	protein_coding	ENSG00000184155
LAMC2	protein_coding	ENSG00000058085
CD58	protein_coding	ENSG00000116815
GPA33	protein_coding	ENSG00000143167
XCL1	protein_coding	ENSG00000143184
KCNJ10	protein_coding	ENSG00000177807
NUF2	protein_coding	ENSG00000143228
MFSD4A	protein_coding	ENSG00000174514
TBX19	protein_coding	ENSG00000143178
NR5A2	protein_coding	ENSG00000116833
SCYL3	protein_coding	ENSG00000000457
DUSP10	protein_coding	ENSG00000143507
NMNAT2	protein_coding	ENSG00000157064
TARBP1	protein_coding	ENSG00000059588
LY9	protein_coding	ENSG00000122224
TDRD5	protein_coding	ENSG00000162782
SCCPDH	protein_coding	ENSG00000143653
ELK4	protein_coding	ENSG00000158711
TFB2M	protein_coding	ENSG00000162851
LYPLAL1	protein_coding	ENSG00000143353
MPZL1	protein_coding	ENSG00000197965
INTS7	protein_coding	ENSG00000143493
CATSPERE	protein_coding	ENSG00000179397
PRDX6	protein_coding	ENSG00000117592
EDARADD	protein_coding	ENSG00000186197
BRINP3	protein_coding	ENSG00000162670
LMX1A	protein_coding	ENSG00000162761
ADCY10	protein_coding	ENSG00000143199
SELE	protein_coding	ENSG00000007908
GPATCH2	protein_coding	ENSG00000092978
SMYD2	protein_coding	ENSG00000143499
SELL	protein_coding	ENSG00000188404
DPT	protein_coding	ENSG00000143196
CAPN8	protein_coding	ENSG00000203697
RHOU	protein_coding	ENSG00000116574
RNF2	protein_coding	ENSG00000121481
RGS5	protein_coding	ENSG00000143248
SPATA17	protein_coding	ENSG00000162814
PRRX1	protein_coding	ENSG00000116132
IVNS1ABP	protein_coding	ENSG00000116679
ASTN1	protein_coding	ENSG00000152092
DTL	protein_coding	ENSG00000143476
